,spu,Tst_high,Tst_low,m_hp,Thp_in,Thp_out,q_hp
2021-10-19 08:45:00+02:00,,39.75493333333334,38.349000000000004,675.3520000000002,38.24886666666667,38.043266666666675,-0.14300000000000004
2021-10-19 09:00:00+02:00,,38.46506666666667,35.65926666666666,712.802,36.74013333333333,38.041333333333334,1.1043466666666666
2021-10-19 09:15:00+02:00,,38.622933333333336,35.842400000000005,746.693,37.3718,39.812400000000004,2.0644533333333333
2021-10-19 09:30:00+02:00,,38.71979999999999,36.39373333333333,676.9719999999999,37.86533333333334,40.62213333333334,2.07406
2021-10-19 09:45:00+02:00,,39.900999999999996,37.8042,706.5639999999999,39.30426666666667,40.84693333333333,1.2318733333333332
2021-10-19 10:00:00+02:00,,40.13126666666666,38.526399999999995,676.4789999999998,38.944066666666664,38.73493333333334,-0.1218266666666667
2021-10-19 10:15:00+02:00,,40.05146666666666,38.72553333333334,676.801,38.80413333333333,38.58313333333333,-0.1613333333333333
2021-10-19 10:30:00+02:00,,39.96786666666667,38.78113333333333,675.236,38.68566666666666,38.46206666666668,-0.16532
2021-10-19 10:45:00+02:00,,39.8892,38.778533333333336,675.3430000000001,38.57106666666667,38.361,-0.10960666666666666
2021-10-19 11:00:00+02:00,,39.80293333333332,38.702,675.9329999999999,38.45013333333334,38.258599999999994,-0.04432
2021-10-19 11:15:00+02:00,,39.71246666666666,38.58253333333333,697.9190000000001,38.34386666666667,38.15686666666666,-0.033666666666666664
2021-10-19 11:30:00+02:00,,39.78553333333333,38.70353333333333,707.5429999999999,39.110866666666666,39.90053333333333,0.7625
2021-10-19 11:45:00+02:00,,39.782599999999995,38.84380000000001,676.9680000000001,38.82193333333334,38.617399999999996,-0.10954
2021-10-19 12:00:00+02:00,,39.71553333333333,38.85086666666666,674.928,38.69453333333333,38.47846666666667,-0.15206666666666668
2021-10-19 12:15:00+02:00,,39.64079999999999,38.817800000000005,676.4490000000001,38.58706666666667,38.38086666666666,-0.11253333333333333
2021-10-19 12:30:00+02:00,,39.548733333333324,38.72493333333333,674.358,38.474933333333325,38.28506666666667,-0.024360000000000003
2021-10-19 12:45:00+02:00,,39.46526666666667,38.60266666666667,674.9819999999999,38.37173333333333,38.186400000000006,-0.030313333333333338
2021-10-19 13:00:00+02:00,,39.38406666666666,38.49346666666667,675.2629999999998,38.27266666666666,38.08253333333333,-0.05566666666666667
2021-10-19 13:15:00+02:00,,39.304199999999994,38.38779999999999,673.7510000000001,38.177200000000006,37.9868,-0.036919999999999994
2021-10-19 13:30:00+02:00,,39.218533333333326,38.296600000000005,673.6259999999999,38.081466666666664,37.9014,-0.018453333333333335
2021-10-19 13:45:00+02:00,,39.12766666666666,38.18633333333334,673.3430000000001,37.9824,37.80806666666667,-0.0025000000000000005
2021-10-19 14:00:00+02:00,,39.0356,38.08913333333334,674.142,37.89639999999999,37.734199999999994,0.0
2021-10-19 14:15:00+02:00,,38.95333333333334,38.00713333333333,673.5559999999999,37.81073333333333,37.644933333333334,0.0
2021-10-19 14:30:00+02:00,,38.87113333333333,37.92193333333333,672.6769999999999,37.72953333333334,37.559133333333335,-0.0016733333333333333
2021-10-19 14:45:00+02:00,,38.792066666666656,37.83806666666666,672.4810000000001,37.63973333333333,37.4856,0.0
2021-10-19 15:00:00+02:00,,38.70946666666667,37.75773333333334,672.6389999999999,37.5544,37.39873333333334,-0.0008133333333333333
2021-10-19 15:15:00+02:00,,38.61880000000001,37.65766666666666,671.816,37.476266666666675,37.33606666666666,0.0
2021-10-19 15:30:00+02:00,,38.53326666666666,37.58266666666667,671.9339999999999,37.403866666666666,37.25940000000001,0.0
