,N,NE,E,SE,S,SW,W,NW
2021-10-28 03:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 03:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 04:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 04:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 04:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 04:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 05:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 05:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 05:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 05:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 06:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 06:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 06:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 06:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 07:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 07:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 07:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 07:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 08:00:00+02:00,0.3235583333333333,0.3235583333333333,0.3235583333333333,0.3235583333333333,0.3235583333333333,0.3235583333333333,0.3235583333333333,0.3235583333333333
2021-10-28 08:15:00+02:00,2.144558333333333,2.144558333333333,2.144558333333333,2.144558333333333,2.144558333333333,2.144558333333333,2.144558333333333,2.144558333333333
2021-10-28 08:30:00+02:00,3.891091666666666,3.891091666666666,3.891091666666666,3.891091666666666,3.891091666666666,3.891091666666666,3.891091666666666,3.891091666666666
2021-10-28 08:45:00+02:00,5.503358333333333,5.503358333333333,5.503358333333333,5.503358333333333,5.503358333333333,5.503358333333333,5.503358333333333,5.503358333333333
2021-10-28 09:00:00+02:00,11.099241666666666,11.099241666666666,11.099241666666666,11.099241666666666,11.099241666666666,11.099241666666666,11.099241666666666,11.099241666666666
2021-10-28 09:15:00+02:00,17.787249999999997,17.787249999999997,17.787249999999997,17.787249999999997,17.787249999999997,17.787249999999997,17.787249999999997,17.787249999999997
